order_no,mem_no,order_date,channel_code,shop_code,product_code,sales_amt
1,1000060,2020-01-10,1,19,637,385000
2,1000713,2020-01-10,1,13,370,14000
3,1000798,2020-01-10,1,19,527,8000
4,1000060,2020-01-11,2,5,523,7000
5,1000713,2020-01-11,1,22,457,31000
6,1000798,2020-01-11,1,26,144,48000
7,1000060,2020-01-12,1,22,76,2000
8,1000061,2020-01-15,1,20,523,7000
9,1000714,2020-01-15,1,16,561,5000
10,1000799,2020-01-15,1,10,457,31000
11,1000061,2020-01-16,1,21,505,43000
12,1000714,2020-01-16,1,28,353,14000
13,1000799,2020-01-16,1,27,518,5000
14,1000061,2020-01-17,1,14,564,6000
15,1000062,2020-01-20,1,4,349,14000
16,1000715,2020-01-20,1,12,112,5000
17,1000800,2020-01-20,1,12,640,555000
18,1000062,2020-01-21,2,22,523,7000
19,1000715,2020-01-21,1,26,158,4000
20,1000800,2020-01-21,1,29,644,98000
21,1000062,2020-01-22,1,26,300,7000
22,1000654,2020-01-22,1,16,527,8000
23,1000739,2020-01-22,3,36,170,8000
24,1000654,2020-01-23,1,35,580,15000
25,1000739,2020-01-23,1,8,357,19000
26,1000656,2020-01-24,1,18,518,5000
27,1000741,2020-01-24,2,38,455,21000
28,1000063,2020-01-25,1,21,370,14000
29,1000656,2020-01-25,1,5,177,13000
30,1000716,2020-01-25,1,15,518,5000
31,1000741,2020-01-25,1,10,172,10000
32,1000801,2020-01-25,1,11,75,100000
33,1000063,2020-01-26,1,23,145,2000
34,1000658,2020-01-26,1,18,370,14000
35,1000716,2020-01-26,1,25,505,43000
36,1000743,2020-01-26,1,21,91,18000
37,1000801,2020-01-26,1,30,306,52700
38,1000005,2020-01-27,1,1,151,3000
39,1000063,2020-01-27,1,9,47,44000
40,1000658,2020-01-27,1,4,580,15000
41,1000743,2020-01-27,1,13,637,385000
42,1000005,2020-01-28,1,1,57,20000
43,1000005,2020-01-28,1,27,530,11000
44,1000007,2020-01-28,1,34,629,155000
45,1000660,2020-01-28,1,25,457,31000
46,1000745,2020-01-28,4,40,112,5000
47,1000005,2020-01-29,2,37,158,4000
48,1000007,2020-01-29,1,17,370,14000
49,1000660,2020-01-29,1,35,112,5000
50,1000745,2020-01-29,1,16,357,19000
51,1000007,2020-01-30,1,4,570,9000
52,1000009,2020-01-30,1,15,75,100000
53,1000064,2020-01-30,1,6,370,14000
54,1000662,2020-01-30,1,1,370,14000
55,1000717,2020-01-30,1,13,494,17000
56,1000747,2020-01-30,1,31,370,14000
57,1000802,2020-01-30,1,23,370,14000
62,1000009,2020-01-31,4,39,370,14000
63,1000064,2020-01-31,1,26,514,4000
64,1000662,2020-01-31,1,22,95,37000
65,1000717,2020-01-31,1,4,136,27000
66,1000747,2020-01-31,1,20,370,14000
67,1000802,2020-01-31,1,32,170,8000
72,1000009,2020-02-01,1,2,405,24000
73,1000011,2020-02-01,1,3,560,5000
74,1000064,2020-02-01,1,29,252,2000
75,1000664,2020-02-01,1,4,623,75000
76,1000749,2020-02-01,1,22,561,5000
85,1000011,2020-02-02,1,10,89,12000
86,1000664,2020-02-02,1,1,644,98000
87,1000749,2020-02-02,1,21,152,3000
92,1000009,2020-02-03,1,27,530,11000
93,1000011,2020-02-03,1,3,589,30000
94,1000013,2020-02-03,1,4,455,21000
95,1000666,2020-02-03,1,7,455,21000
96,1000751,2020-02-03,1,23,370,14000
113,1000011,2020-02-04,1,27,530,11000
114,1000013,2020-02-04,4,40,637,385000
115,1000065,2020-02-04,1,22,603,2700
116,1000666,2020-02-04,1,10,518,5000
117,1000718,2020-02-04,1,10,172,10000
118,1000751,2020-02-04,1,24,623,75000
119,1000803,2020-02-04,1,22,565,7000
129,1000013,2020-02-05,1,9,90,15000
130,1000015,2020-02-05,1,7,357,19000
131,1000065,2020-02-05,1,4,505,43000
132,1000668,2020-02-05,1,28,370,14000
133,1000718,2020-02-05,1,29,623,75000
134,1000753,2020-02-05,1,24,561,5000
135,1000803,2020-02-05,1,34,455,21000
142,1000011,2020-02-06,1,30,631,223000
143,1000015,2020-02-06,1,29,158,4000
144,1000016,2020-02-06,1,2,505,43000
145,1000065,2020-02-06,1,22,402,14000
146,1000668,2020-02-06,1,20,370,14000
147,1000669,2020-02-06,1,9,112,5000
148,1000753,2020-02-06,1,25,494,17000
149,1000754,2020-02-06,1,35,629,155000
154,1000013,2020-02-07,2,6,158,4000
155,1000015,2020-02-07,1,5,510,3000
156,1000016,2020-02-07,1,16,158,4000
157,1000017,2020-02-07,1,3,560,5000
158,1000669,2020-02-07,1,16,527,8000
159,1000670,2020-02-07,2,6,352,12000
160,1000754,2020-02-07,1,23,370,14000
161,1000755,2020-02-07,1,25,518,5000
167,1000016,2020-02-08,1,7,345,62800
168,1000017,2020-02-08,1,14,357,19000
169,1000018,2020-02-08,1,4,565,7000
170,1000670,2020-02-08,1,17,614,289000
171,1000671,2020-02-08,1,11,91,18000
172,1000755,2020-02-08,1,30,518,5000
173,1000756,2020-02-08,3,36,643,70000
174,1000017,2020-02-09,1,6,107,3000
