mem_no,gender,age,addr,join_date
1000001,man,20,Gwangju,2021-01-22
1000002,women,28,Incheon,2021-02-12
1000003,women,38,Incheon,2021-01-24
1000004,man,39,Incheon,2021-02-14
1000005,man,33,Seoul,2021-01-26
1000006,man,33,Gyeonggi,2021-02-16
1000007,women,32,Seoul,2021-01-28
1000008,man,50,Seoul,2021-02-18
1000009,women,50,Gyeonggi,2021-01-30
1000010,women,55,Gangwon,2021-02-20
1000011,man,55,Busan,2021-02-01
1000012,man,55,Daejeon,2021-02-22
1000013,man,50,Jeju,2021-02-03
1000014,women,58,Daejeon,2021-02-24
1000015,man,59,Daegu,2021-02-05
1000016,women,54,Gwangju,2021-02-06
1000017,women,53,Incheon,2021-02-07
1000018,man,52,Incheon,2021-02-08
1000019,man,51,Incheon,2021-02-09
1000020,man,50,Seoul,2021-02-10
1000021,women,50,Gyeonggi,2021-02-11
1000022,man,55,Seoul,2021-02-12
1000023,women,50,Seoul,2021-02-27
1000024,women,58,Gyeonggi,2021-02-28
1000025,man,59,Gangwon,2021-03-01
1000026,man,50,Busan,2021-03-02
1000027,man,50,Daejeon,2021-03-03
1000028,women,29,Jeju,2021-03-04
1000029,man,22,Daejeon,2021-03-19
1000030,women,31,Daegu,2021-03-20
1000031,women,30,Jeju,2021-03-21
1000032,man,30,Daejeon,2021-03-22
1000033,man,33,Daegu,2021-03-23
1000034,man,33,Gwangju,2021-03-24
1000035,women,50,Incheon,2021-04-08
1000036,man,50,Incheon,2021-04-09
1000037,women,50,Incheon,2021-04-10
1000038,women,55,Gwangju,2021-04-11
1000039,man,55,Incheon,2021-04-12
1000040,man,50,Incheon,2021-04-13
1000041,man,58,Incheon,2021-04-28
1000042,women,59,Seoul,2021-04-29
1000043,man,50,Gyeonggi,2021-04-30
1000044,women,50,Seoul,2021-05-01
1000045,women,50,Seoul,2021-05-02
1000046,man,50,Gyeonggi,2021-05-03
1000047,man,54,Gangwon,2021-05-18
1000048,man,54,Busan,2021-05-19
1000049,women,50,Daejeon,2021-05-20
1000050,man,50,Jeju,2021-05-21
1000051,women,50,Daejeon,2021-05-22
1000052,women,54,Daegu,2021-05-23
1000053,man,54,Gwangju,2021-06-07
1000054,man,53,Incheon,2021-06-08
1000055,man,22,Incheon,2021-06-09
1000056,women,22,Incheon,2021-05-10
1000057,man,30,Seoul,2021-04-10
1000058,women,38,Gyeonggi,2021-03-11
1000059,women,39,Seoul,2021-02-09
1000060,man,30,Seoul,2021-01-10
1000061,man,30,Gyeonggi,2021-01-15
1000062,man,52,Gangwon,2021-01-20
1000063,women,51,Busan,2021-01-25
1000064,man,50,Daejeon,2021-01-30
1000065,women,53,Jeju,2021-02-04
1000066,women,52,Daejeon,2021-02-09
1000067,man,51,Daegu,2021-02-14
1000068,man,50,Jeju,2021-02-19
1000069,man,50,Daejeon,2021-02-24
1000070,women,55,Daegu,2021-03-01
1000071,man,55,Gwangju,2021-03-06
1000072,women,50,Incheon,2021-03-11
1000073,women,58,Incheon,2021-03-16
1000074,man,59,Incheon,2021-03-21
1000075,man,50,Gwangju,2021-03-26
1000076,man,50,Incheon,2021-03-31
1000077,women,55,Incheon,2021-04-05
1000078,man,55,Incheon,2021-04-10
1000079,women,50,Seoul,2021-04-15
1000080,women,58,Gyeonggi,2021-04-20
1000081,man,59,Seoul,2021-04-25
1000082,man,21,Seoul,2021-04-30
1000083,man,20,Gyeonggi,2021-05-05
1000084,women,30,Gangwon,2021-05-10
1000085,man,30,Busan,2021-05-15
1000086,women,33,Daejeon,2021-05-20
1000087,women,33,Jeju,2021-05-25
1000088,man,33,Daejeon,2021-05-30
1000089,man,54,Daegu,2021-06-04
1000090,man,54,Gwangju,2021-06-09
1000091,women,53,Incheon,2021-06-14
1000092,man,50,Incheon,2021-06-19
1000093,women,55,Incheon,2021-06-24
1000094,women,55,Seoul,2021-06-29
1000095,man,50,Gyeonggi,2021-07-04
1000096,man,58,Seoul,2021-07-09
1000097,man,59,Seoul,2021-07-14
1000098,women,53,Gyeonggi,2021-07-19
1000099,man,52,Gangwon,2021-07-24
1000100,women,51,Busan,2021-07-29
1000101,women,50,Daejeon,2021-08-03
1000102,man,50,Jeju,2021-08-08
1000103,man,52,Daejeon,2021-08-13
1000104,man,51,Daegu,2021-08-18
1000105,women,50,Jeju,2021-08-23
1000106,man,50,Daejeon,2021-08-28
1000107,women,55,Daegu,2021-09-02
1000108,women,55,Gwangju,2021-09-07
1000109,man,20,Incheon,2021-09-12
1000110,man,22,Incheon,2021-09-17
1000111,man,32,Incheon,2021-09-22
