order_no,mem_no,order_date,store_cd
2000001,1001582,2020-01-11,2003
2000003,1001583,2020-01-13,2003
2000004,1001581,2020-01-14,2001
2000005,1001579,2020-01-16,2013
2000006,1001578,2020-01-17,2003
2000007,1001580,2020-01-18,2003
2000009,1001575,2020-01-21,2013
2000011,1001576,2020-01-23,2003
2000012,1001574,2020-01-24,2003
2000013,1001577,2020-01-24,2001
2000017,1001565,2020-01-27,2014
2000018,1001572,2020-01-27,2011
2000019,1001573,2020-01-27,2011
2000022,1001563,2020-01-28,2008
2000023,1001564,2020-01-28,2008
2000024,1001560,2020-01-29,2008
2000026,1001569,2020-01-29,2011
2000027,1001570,2020-01-29,2011
2000028,1001571,2020-01-29,2011
2000032,1001566,2020-01-30,2006
2000033,1001568,2020-01-31,2013
2000036,1001559,2020-02-01,2008
2000037,1001561,2020-02-01,2003
2000038,1001562,2020-02-01,2003
2000044,1001556,2020-02-03,2014
2000045,1001557,2020-02-03,2014
2000049,1001553,2020-02-04,2014
2000060,1001558,2020-02-07,2014
2000065,1001536,2020-02-08,2014
2000066,1001537,2020-02-08,2014
2000067,1001542,2020-02-08,2011
2000071,1001533,2020-02-09,2014
2000072,1001534,2020-02-09,2014
2000073,1001554,2020-02-09,2014
2000074,1001555,2020-02-09,2014
2000079,1001528,2020-02-10,2015
2000080,1001530,2020-02-10,2014
2000081,1001531,2020-02-10,2014
2000086,1001523,2020-02-11,2009
2000087,1001527,2020-02-11,2009
2000093,1001567,2020-02-11,2006
2000101,1001543,2020-02-12,2011
2000102,1001548,2020-02-12,2011
2000106,1001525,2020-02-13,2004
2000107,1001526,2020-02-13,2015
2000108,1001545,2020-02-13,2011
2000109,1001546,2020-02-13,2011
2000110,1001547,2020-02-13,2011
2000119,1001520,2020-02-14,2015
2000127,1001516,2020-02-15,2015
2000134,1001497,2020-02-16,2015
2000135,1001498,2020-02-16,2015
2000136,1001500,2020-02-16,2015
2000137,1001506,2020-02-16,2012
2000138,1001514,2020-02-16,2012
2000139,1001524,2020-02-16,2015
2000140,1001539,2020-02-16,2011
2000141,1001540,2020-02-16,2011
2000142,1001541,2020-02-16,2011
2000144,1001544,2020-02-16,2011
2000149,1001494,2020-02-17,2015
2000150,1001495,2020-02-17,2015
2000151,1001501,2020-02-17,2012
2000152,1001502,2020-02-17,2012
2000153,1001503,2020-02-17,2012
2000154,1001504,2020-02-17,2012
2000155,1001505,2020-02-17,2012
2000156,1001508,2020-02-17,2012
2000157,1001538,2020-02-17,2011
2000162,1001499,2020-02-18,2005
2000164,1001522,2020-02-18,2015
2000168,1001492,2020-02-19,2015
2000170,1001496,2020-02-19,2005
2000176,1001486,2020-02-20,2010
2000177,1001490,2020-02-20,2015
2000178,1001512,2020-02-20,2012
2000179,1001513,2020-02-20,2012
2000181,1001476,2020-02-21,2012
2000182,1001477,2020-02-21,2012
2000183,1001481,2020-02-21,2012
2000184,1001484,2020-02-21,2012
2000185,1001485,2020-02-21,2010
2000186,1001487,2020-02-21,2012
2000187,1001489,2020-02-21,2010
2000189,1001491,2020-02-21,2006
2000190,1001493,2020-02-21,2005
2000191,1001518,2020-02-21,2015
2000192,1001551,2020-02-21,2011
2000196,1001479,2020-02-22,2015
2000197,1001482,2020-02-22,2015
2000198,1001483,2020-02-22,2015
2000200,1001509,2020-02-22,2012
2000201,1001510,2020-02-22,2012
2000202,1001511,2020-02-22,2012
2000203,1001519,2020-02-22,2009
2000208,1001475,2020-02-23,2012
2000213,1001488,2020-02-23,2005
2000216,1001515,2020-02-23,2012
2000221,1001549,2020-02-23,2011
2000222,1001550,2020-02-23,2011
2000226,1001469,2020-02-24,2012
2000227,1001471,2020-02-24,2012
2000228,1001472,2020-02-24,2012
2000234,1001535,2020-02-24,2014
2000240,1001458,2020-02-25,2015
2000241,1001459,2020-02-25,2015
2000242,1001461,2020-02-25,2015
2000243,1001462,2020-02-25,2015
2000245,1001521,2020-02-25,2004
2000247,1001529,2020-02-25,2015
2000252,1001532,2020-02-25,2014
2000267,1001460,2020-02-27,2006
2000269,1001463,2020-02-27,2006
2000270,1001464,2020-02-27,2012
2000276,1001448,2020-02-28,2011
2000277,1001453,2020-02-28,2015
